experiment,part,n,accuracy,acc_ci95_low,acc_ci95_high,macro_f1,kappa,suicidal_recall
part1_random_baseline,part1,20022.0,0.14536549795225254,,,0.14291192404476993,,
part1_majority_baseline,part1,20022.0,0.1667166117271002,,,0.04082681017612525,0.0,0.0
part2_bert_32,part2,20022.0,0.576765557886325,0.5698731395464989,0.5836092797922285,0.5499866027881214,0.502298571280233,0.16304347826086957
part3_bert_pct1,part3,20022.0,0.6117770452502248,0.6051331035860553,0.6180713714913595,0.5526871563312039,0.5425717394641025,0.0
part2_bert_eda_160,part2,20022.0,0.6363000699230846,0.6303566077314954,0.6431949855159325,0.6304147495977865,0.5734321385607504,0.2722117202268431
part2_bert_synth_only,part2,20022.0,0.6431924882629108,0.6371965837578664,0.6497864848666467,0.6220372919453103,0.5823597322761928,0.2589792060491493
part1_rule_based,part1,20022.0,0.6690140845070423,0.6627185096393966,0.6758578064129458,0.6700652372737707,0.6107968739143239,0.41351606805293006
part2_bert_backtrans,part2,20022.0,0.6713615023474179,0.6655166816501847,0.6777607132154629,0.6505403744513464,0.613658231170292,0.1285444234404537
part2_zero_shot_llm_n2100,part2,2100.0,0.7233333333333334,0.7057142857142857,0.741904761904762,0.7350286752601896,0.7001857335520811,0.6756756756756757
part2_bert_llmgen_200,part2,20022.0,0.7322445310158825,0.7264009589451603,0.7377397362900809,0.7207347922946428,0.6865952254562107,0.44659735349716445
part2_bert_llmgen_50,part2,20022.0,0.7385376086305064,0.732742732993707,0.744432374388173,0.7305115250266789,0.6940352506023838,0.46313799621928164
part1_rule_based_mined,part1,20022.0,0.745080411547298,0.7389359204874638,0.7510738187993208,0.7494563575651593,0.7013564353530924,0.45321361058601134
part2_best_combo,part2,20022.0,0.7569673359304765,0.7511225152332435,0.7626610728198981,0.7545749346548796,0.7160051020120981,0.7448015122873346
part3_synth_stack_pct1,part3,20022.0,0.7824393167515733,0.7769940565378084,0.7881842473279392,0.7714548881692634,0.7454348124857413,0.5274102079395085
part3_distill_stack_pct1,part3,20022.0,0.7979222854859654,0.792427080211767,0.8032177105184297,0.7928486441317861,0.763883169319713,0.7878071833648393
part3_distill_stack_pct10,part3,20022.0,0.8756367995205274,0.8709919089002097,0.8799320747178104,0.8696267154008156,0.8546470219789803,0.7703213610586012
part3_synth_stack_pct10,part3,20022.0,0.8807311956847468,0.8764858655478973,0.8848766357007292,0.8730499952422922,0.8605235670493054,0.7306238185255198
part3_bert_pct10,part3,20022.0,0.8847268005194286,0.8800294675856557,0.8887224053541105,0.8768149555290046,0.8651228932945935,0.69234404536862
part3_bert_pct25,part3,20022.0,0.9033063630006992,0.8992083707921287,0.9072532714014584,0.896183438336197,0.8868544493924994,0.724952741020794
part3_bert_pct50,part3,20022.0,0.9107481770052942,0.9066526820497453,0.9147437818399761,0.9042186608852141,0.8955962015745917,0.7622873345935728
part3_bert_pct75,part3,20022.0,0.9153930676256118,0.9114461592248526,0.9188942163620017,0.9087813407515956,0.901022656346891,0.7646502835538752
part3_distill_stack_pct100,part3,20022.0,0.9159424632903805,0.912145390070922,0.9196383977624613,0.9096350824875027,0.9016885332221722,0.782608695652174
part3_bert_pct100,part3,20022.0,0.9171910898012187,0.9134452102687044,0.920689741284587,0.9108405948023878,0.9031492632838497,0.7840264650283554
part3_synth_stack_pct100,part3,20022.0,0.9177404854659874,0.9138934671860953,0.9213864748776346,0.9115009589288124,0.9037882851730586,0.7863894139886578
part0_soa_reference,part0,,0.9483,,,,,
